                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4032,                  1.236,                 1.4279,                 1.4884,                 1.5339,                 1.4109,                0.63167,                0.56075,                0.58757,                0.29663,                 2.0108,                 1.9985,                 2.0991,                 1.9794,                 2.3279,                 1.9756,              0.0014543,              0.0014543,              0.0014543
                     69,                 1.3844,                 1.2178,                 1.4019,                  1.487,                 1.4818,                 1.3919,                0.70538,                0.57724,                0.61757,                0.32325,                 1.9302,                 1.9741,                 2.0732,                 1.8686,                 2.2937,                 1.9007,               0.001451,               0.001451,               0.001451
                     70,                 1.3493,                 1.1528,                 1.3802,                 1.4423,                 1.4125,                 1.3677,                0.70286,                0.59939,                0.65395,                0.32617,                 1.9315,                 1.7439,                 2.0227,                  1.949,                  2.016,                 1.9486,              0.0014478,              0.0014478,              0.0014478
                     71,                 1.3604,                 1.1962,                 1.3943,                 1.4564,                 1.4788,                 1.3835,                0.72454,                0.57979,                0.63789,                0.31282,                 1.9386,                 1.7852,                 2.0558,                 1.9495,                 2.0614,                 1.9484,              0.0014446,              0.0014446,              0.0014446
                     72,                 1.3921,                 1.1951,                 1.4051,                 1.4684,                   1.48,                  1.384,                0.71072,                0.57937,                0.62773,                0.31475,                 2.0233,                 1.9474,                 2.1042,                 2.0276,                 2.1721,                 2.0149,              0.0014414,              0.0014414,              0.0014414
                     73,                 1.3687,                 1.1731,                 1.3928,                  1.443,                 1.4438,                  1.374,                0.71257,                0.56745,                0.62336,                0.33453,                 1.8571,                 1.8296,                 1.9673,                 1.8342,                 2.0997,                 1.8704,              0.0014381,              0.0014381,              0.0014381
                     74,                 1.3419,                 1.1501,                 1.3749,                 1.4252,                 1.4264,                 1.3572,                0.68919,                0.60881,                0.63873,                0.33861,                 1.8757,                 1.8277,                 2.0105,                  1.869,                 2.1078,                 1.8813,              0.0014349,              0.0014349,              0.0014349
                     75,                 1.3479,                 1.1476,                 1.3855,                 1.4418,                 1.4144,                 1.3803,                0.78441,                0.58929,                0.65914,                0.34841,                 1.8506,                 1.8123,                 2.0021,                 1.8405,                 2.0871,                 1.9217,              0.0014317,              0.0014317,              0.0014317
                     76,                 1.3336,                  1.146,                 1.3746,                 1.4298,                 1.4337,                 1.3818,                0.70893,                0.58078,                0.64468,                0.34358,                 1.8587,                 1.7772,                 2.0251,                 1.8726,                 2.0665,                 1.9618,              0.0014285,              0.0014285,              0.0014285
                     77,                 1.3604,                  1.158,                 1.3921,                 1.4596,                 1.4609,                 1.3871,                0.68091,                 0.6101,                0.64361,                0.34634,                 1.9303,                 1.7883,                 2.0559,                 1.9161,                 2.0704,                 1.9715,              0.0014253,              0.0014253,              0.0014253
                     78,                 1.3241,                 1.0995,                  1.362,                 1.4147,                 1.3585,                 1.3572,                0.68126,                0.56865,                0.62801,                 0.3365,                 1.8948,                 1.7335,                 2.0135,                 1.8804,                 2.0407,                 1.9428,               0.001422,               0.001422,               0.001422
                     79,                 1.3505,                 1.1686,                 1.3892,                 1.4349,                 1.4412,                 1.3792,                 0.7324,                0.58815,                0.66094,                0.34569,                 1.8532,                 1.7343,                  1.959,                 1.8372,                 2.0184,                 1.8863,              0.0014188,              0.0014188,              0.0014188
                     80,                 1.3136,                 1.0996,                 1.3601,                 1.4101,                  1.339,                 1.3553,                  0.683,                  0.571,                0.61754,                0.32016,                 1.9328,                 1.8596,                 2.0793,                 1.9172,                  2.122,                 2.0063,              0.0014156,              0.0014156,              0.0014156
                     81,                 1.3248,                 1.1496,                 1.3618,                 1.4096,                 1.4297,                 1.3593,                0.70767,                0.54278,                0.62061,                0.33676,                 1.8756,                 1.7681,                 1.9971,                 1.8475,                 2.0791,                 1.8912,              0.0014124,              0.0014124,              0.0014124
                     82,                 1.2757,                 1.0566,                   1.33,                 1.3659,                 1.2967,                 1.3326,                0.71553,                0.58149,                0.65494,                0.34863,                 1.8781,                  1.759,                 1.9916,                 1.8679,                 2.0505,                 1.9097,              0.0014091,              0.0014091,              0.0014091
                     83,                 1.2748,                  1.067,                  1.344,                   1.37,                 1.3048,                 1.3474,                0.68515,                0.61661,                0.65571,                0.35275,                 1.8264,                 1.7772,                 1.9882,                 1.8251,                 2.0486,                   1.93,              0.0014059,              0.0014059,              0.0014059
                     84,                 1.2874,                 1.0612,                 1.3437,                 1.3735,                 1.2917,                 1.3347,                0.73771,                 0.5141,                0.58086,                0.31088,                   1.91,                 1.9082,                 1.9903,                 1.8863,                 2.2135,                 1.9271,              0.0014027,              0.0014027,              0.0014027
                     85,                 1.3035,                 1.1075,                 1.3533,                 1.4124,                 1.3729,                 1.3502,                0.72884,                0.53768,                0.61775,                0.32875,                 1.9315,                 1.7354,                 2.0436,                 1.9503,                 2.0244,                 1.9721,              0.0013995,              0.0013995,              0.0013995
                     86,                 1.3264,                 1.0956,                 1.3504,                 1.4215,                 1.3589,                 1.3514,                0.73435,                0.59646,                0.65984,                0.34416,                 1.8516,                 1.7119,                 1.9938,                 1.8043,                 2.0413,                 1.9131,              0.0013962,              0.0013962,              0.0013962
                     87,                 1.2934,                 1.0478,                  1.339,                 1.3943,                 1.2818,                 1.3507,                0.74133,                0.59078,                0.66333,                0.36228,                 1.8425,                 1.7437,                 1.9635,                 1.8359,                 2.0156,                 1.8855,               0.001393,               0.001393,               0.001393
                     88,                 1.2664,                 1.0556,                 1.3291,                 1.3602,                 1.3002,                 1.3433,                0.69958,                  0.624,                0.66979,                0.37241,                 1.8447,                 1.7072,                 1.9691,                 1.8073,                 2.0308,                 1.8769,              0.0013898,              0.0013898,              0.0013898
                     89,                  1.277,                 1.0529,                 1.3239,                 1.3759,                 1.2972,                 1.3363,                0.70834,                0.55078,                0.61292,                0.33027,                 1.8819,                 1.7089,                  1.953,                 1.8825,                 2.0095,                  1.923,              0.0013866,              0.0013866,              0.0013866
                     90,                 1.2908,                 1.0628,                 1.3409,                 1.3665,                 1.2991,                 1.3449,                0.67953,                0.50487,                0.58031,                0.29832,                 1.9997,                  1.862,                  2.076,                 1.9818,                 2.1089,                  2.014,              0.0013833,              0.0013833,              0.0013833
                     91,                 1.3087,                  1.079,                 1.3462,                 1.4076,                 1.3298,                 1.3544,                0.67402,                0.57598,                0.62775,                0.33844,                 1.9599,                 1.7305,                 2.0535,                 1.9302,                 1.9749,                 1.9368,              0.0013801,              0.0013801,              0.0013801
                     92,                 1.2836,                  1.038,                 1.3319,                 1.3848,                  1.266,                  1.329,                0.74798,                 0.5713,                0.63324,                0.35406,                 1.8571,                  1.817,                 2.0248,                  1.857,                 2.1571,                 1.9309,              0.0013769,              0.0013769,              0.0013769
                     93,                 1.2835,                 1.0422,                 1.3383,                 1.3636,                 1.2805,                  1.328,                0.76322,                0.60071,                0.67992,                0.36254,                 1.7932,                 1.6611,                 1.9762,                 1.7896,                 1.9552,                 1.8821,              0.0013737,              0.0013737,              0.0013737
